A	B	C	D	E	F	samples
0.233645	0.157168	0.346641	0.012955	1e-05	0.249581	JU3137
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	JU3140
1e-05	0.628029	0.275497	1e-05	1e-05	0.096444	JU3144
1e-05	0.517468	0.482492	1e-05	1e-05	1e-05	JU323
1e-05	0.297723	0.702237	1e-05	1e-05	1e-05	JU346
1e-05	0.714851	0.285109	1e-05	1e-05	1e-05	JU360
0.970609	0.029351	1e-05	1e-05	1e-05	1e-05	JU367
0.104152	1e-05	0.895808	1e-05	1e-05	1e-05	JU393
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	JU394
0.18714	1e-05	0.81282	1e-05	1e-05	1e-05	JU397
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	JU406
0.83738	1e-05	0.16258	1e-05	1e-05	1e-05	JU440
0.400251	0.539149	0.06057	1e-05	1e-05	1e-05	JU561
1e-05	0.57816	0.4218	1e-05	1e-05	1e-05	JU642
1e-05	0.761449	0.153733	0.047705	1e-05	0.037092	JU751
1e-05	0.626091	1e-05	0.038284	1e-05	0.335595	JU774
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	JU775
0.046959	0.180212	0.04317	1e-05	1e-05	0.729639	JU778
0.047353	1e-05	0.057053	1e-05	1e-05	0.895564	JU782
1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	JU792
1e-05	0.925948	0.074012	1e-05	1e-05	1e-05	JU830
0.196573	0.205759	0.597638	1e-05	1e-05	1e-05	JU847
1e-05	0.910857	0.089103	1e-05	1e-05	1e-05	KR314
1e-05	0.465677	0.017157	1e-05	1e-05	0.517135	LKC34
0.99995	1e-05	1e-05	1e-05	1e-05	1e-05	LSJ1
1e-05	0.811939	1e-05	1e-05	1e-05	0.188021	MY1
0.032853	0.525533	0.094353	1e-05	1e-05	0.347241	MY10
0.26817	1e-05	0.077773	0.654027	1e-05	1e-05	MY16
0.087027	0.627069	0.285874	1e-05	1e-05	1e-05	MY18
0.544577	1e-05	0.455383	1e-05	1e-05	1e-05	MY2147
0.079571	0.680944	0.239455	1e-05	1e-05	1e-05	MY2212
1e-05	1e-05	1e-05	0.99995	1e-05	1e-05	MY23
0.517805	0.134326	0.315418	1e-05	1e-05	0.03243	MY2453
0.102108	0.666685	0.231177	1e-05	1e-05	1e-05	MY2530
1e-05	0.767185	0.232775	1e-05	1e-05	1e-05	MY2535
0.339938	1e-05	0.660022	1e-05	1e-05	1e-05	MY2573
1e-05	0.954557	0.02421	1e-05	1e-05	0.021203	MY2585
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	MY2693
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	MY2713
0.108456	0.783001	0.108513	1e-05	1e-05	1e-05	MY2741
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	MY518
1e-05	0.99995	1e-05	1e-05	1e-05	1e-05	MY679
0.086158	0.092672	0.82114	1e-05	1e-05	1e-05	MY772
0.218944	0.641352	0.131985	0.007699	1e-05	1e-05	MY795
0.216867	0.544503	0.238593	1.7e-05	1e-05	1e-05	MY920
0.999949	1e-05	1.1e-05	1e-05	1e-05	1e-05	N2
0.067272	0.468283	0.409987	1e-05	1e-05	0.054438	NIC1
0.393801	1e-05	0.606159	1e-05	1e-05	1e-05	NIC1049
0.795851	1e-05	0.204109	1e-05	1e-05	1e-05	NIC1107
0.058352	0.438028	0.468635	1e-05	1e-05	0.034965	NIC166
0.184795	0.040918	0.158315	0.022278	1e-05	0.593685	NIC195
1e-05	1e-05	0.351716	1e-05	1e-05	0.648244	NIC199
0.669637	0.330323	1e-05	1e-05	1e-05	1e-05	NIC2
0.17481	0.548922	0.276238	1e-05	1e-05	1e-05	NIC207
1e-05	0.922326	1e-05	0.022276	1e-05	0.055368	NIC231
1e-05	0.282601	0.180108	1e-05	1e-05	0.537261	NIC236
0.491796	0.066462	0.29607	1e-05	1e-05	0.145651	NIC242
0.082245	1e-05	0.106145	1e-05	0.071057	0.740533	NIC251
1e-05	0.281028	1e-05	1e-05	1e-05	0.718932	NIC252
0.381705	0.476301	0.141965	1e-05	1e-05	1e-05	NIC255
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	NIC256
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	NIC258
0.161713	0.058265	0.211424	1.6e-05	1e-05	0.568572	NIC259
1e-05	0.091184	1e-05	1e-05	1e-05	0.908776	NIC260
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	NIC261
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	NIC262
1e-05	1e-05	0.142369	1e-05	1e-05	0.857591	NIC265
0.308924	0.142936	1e-05	1e-05	1e-05	0.548109	NIC266
1e-05	0.669333	0.03574	1e-05	1e-05	0.294897	NIC267
1e-05	0.296243	0.00614	0.444992	1e-05	0.252605	NIC268
1e-05	1e-05	0.344978	1e-05	1e-05	0.654982	NIC269
1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	NIC271
1e-05	0.249821	0.145239	1e-05	1e-05	0.60491	NIC272
0.061673	0.322602	1e-05	1e-05	1e-05	0.615695	NIC274
1e-05	0.647183	1e-05	1e-05	1e-05	0.352777	NIC275
1e-05	0.542259	0.033253	1e-05	1e-05	0.424458	NIC276
1e-05	0.315485	0.684475	1e-05	1e-05	1e-05	NIC277
1e-05	0.447184	0.552776	1e-05	1e-05	1e-05	NIC3
1e-05	1e-05	0.999949	1.1e-05	1e-05	1e-05	NIC501
0.171549	0.322159	0.506262	1e-05	1e-05	1e-05	NIC511
1e-05	0.440693	1e-05	1e-05	1e-05	0.559267	NIC513
1e-05	0.472936	1e-05	1e-05	1e-05	0.527024	NIC514
1e-05	0.50962	0.199406	1.1e-05	1e-05	0.290944	NIC515
0.173333	0.335204	0.309067	1e-05	1e-05	0.182376	NIC522
1e-05	0.622499	1e-05	0.110035	1e-05	0.267437	NIC523
1e-05	0.479482	0.298974	1e-05	1e-05	0.221513	NIC526
1e-05	0.215023	0.705115	1e-05	1e-05	0.079833	NIC527
1e-05	0.794861	0.205099	1e-05	1e-05	1e-05	NIC528
0.044981	0.697522	0.257467	1e-05	1e-05	1e-05	NIC529
0.006112	0.993848	1e-05	1e-05	1e-05	1e-05	PB303
1e-05	0.552792	1e-05	0.447168	1e-05	1e-05	PB306
1e-05	0.349074	1e-05	0.650886	1e-05	1e-05	PS2025
0.504182	0.495773	1.5e-05	1e-05	1e-05	1e-05	PX179
0.027424	0.634454	0.070384	0.102446	1e-05	0.165283	QG2075
1e-05	0.936275	1e-05	1e-05	1e-05	0.063685	QG536
1e-05	0.355216	1e-05	0.644744	1e-05	1e-05	QG556
1e-05	0.677404	1e-05	0.322556	1e-05	1e-05	QG557
0.067872	0.438161	0.302291	1e-05	0.054197	0.137468	QW947
1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	QX1211
1e-05	0.807255	1e-05	0.192705	1e-05	1e-05	QX1212
