A	B	C	D	E	samples
0.058278	1e-05	1e-05	0.530298	0.411404	NIC166
0.628214	0.006337	1e-05	0.271944	0.093495	NIC195
0.743589	1e-05	1.1e-05	0.25638	1e-05	NIC199
1e-05	1e-05	1e-05	0.396268	0.603702	NIC2
0.044709	1e-05	1e-05	0.349662	0.605609	NIC207
0.04844	0.026695	1e-05	1e-05	0.924844	NIC231
0.646151	1e-05	1e-05	1e-05	0.353819	NIC236
0.145795	1e-05	1e-05	0.722265	0.13192	NIC242
0.746241	1e-05	0.077274	0.176465	1e-05	NIC251
0.700759	1e-05	1e-05	1e-05	0.299211	NIC252
1e-05	1e-05	1e-05	0.433618	0.566352	NIC255
0.99996	1e-05	1e-05	1e-05	1e-05	NIC256
0.99996	1e-05	1e-05	1e-05	1e-05	NIC258
0.602207	1.2e-05	1e-05	0.298096	0.099674	NIC259
0.884303	1e-05	1e-05	1e-05	0.115667	NIC260
0.99996	1e-05	1e-05	1e-05	1e-05	NIC261
0.99996	1e-05	1e-05	1e-05	1e-05	NIC262
0.898517	1e-05	1e-05	0.101453	1e-05	NIC265
0.529072	1e-05	1e-05	0.297836	0.173072	NIC266
0.317744	1e-05	1e-05	0.000245	0.681991	NIC267
0.253309	0.447075	1e-05	1e-05	0.299596	NIC268
0.800327	1e-05	1e-05	0.15618	0.043472	NIC269
0.99996	1e-05	1e-05	1e-05	1e-05	NIC271
0.672779	1e-05	1e-05	0.037168	0.290033	NIC272
0.615225	1e-05	1e-05	0.002903	0.381852	NIC274
0.335711	1e-05	1e-05	1e-05	0.664259	NIC275
0.437214	1e-05	1e-05	1e-05	0.562756	NIC276
1e-05	1e-05	1e-05	0.684169	0.315801	NIC277
1e-05	1e-05	1e-05	0.554271	0.445699	NIC3
0.175998	1e-05	1e-05	0.823972	1e-05	NIC501
0.023732	1e-05	1e-05	0.620562	0.355686	NIC511
0.539169	1e-05	1e-05	1e-05	0.460801	NIC513
0.522339	1e-05	1e-05	1e-05	0.477631	NIC514
0.411688	1e-05	1e-05	1e-05	0.588282	NIC515
0.192816	1e-05	1e-05	0.451042	0.356122	NIC522
0.268692	0.11394	1e-05	1e-05	0.617348	NIC523
0.312789	1e-05	1e-05	0.17499	0.512201	NIC526
0.202316	1.3e-05	1e-05	0.616703	0.180959	NIC527
0.039559	1e-05	1e-05	0.164522	0.795898	NIC528
0.01744	1e-05	1e-05	0.2731	0.709439	NIC529
1e-05	1e-05	1e-05	1e-05	0.99996	PB303
1e-05	0.47254	1e-05	1e-05	0.52743	PB306
1e-05	0.663139	1e-05	1e-05	0.336831	PS2025
1e-05	1e-05	1e-05	0.332256	0.667714	PX179
0.228677	0.091771	1e-05	0.018054	0.661488	QG2075
0.065209	1e-05	1e-05	1e-05	0.934761	QG536
1e-05	0.656743	1e-05	1e-05	0.343227	QG556
1e-05	0.335935	1e-05	1e-05	0.664035	QG557
0.21847	1e-05	0.05218	0.263072	0.466269	QW947
1e-05	1e-05	0.99996	1e-05	1e-05	QX1211
1e-05	0.20297	1e-05	1e-05	0.797	QX1212
1e-05	0.19315	1e-05	1e-05	0.80682	QX1233
0.153929	0.608493	1e-05	0.236103	0.001465	QX1791
0.063329	0.647854	1e-05	1e-05	0.288797	QX1792
0.10199	0.89798	1e-05	1e-05	1e-05	QX1793
1e-05	0.949377	1e-05	1e-05	0.050593	QX1794
1e-05	1e-05	1e-05	1e-05	0.99996	RC301
0.424457	0.017267	1e-05	0.134523	0.423743	WN2001
0.13299	1e-05	1e-05	0.411094	0.455896	WN2002
1e-05	0.022408	1e-05	0.012961	0.964611	WN2033
0.116808	1e-05	1e-05	0.883162	1e-05	WN2050
1e-05	0.99996	1e-05	1e-05	1e-05	XZ1513
1e-05	1e-05	0.99996	1e-05	1e-05	XZ1514
1e-05	0.776542	0.102112	1e-05	0.121326	XZ1515
0.010468	1e-05	0.989502	1e-05	1e-05	XZ1516
