strain	trait	value
NIC275	min.temp-3mo	7.92967032967033
NIC275	q10.temp-3mo	8.60791208791209
NIC275	q25.temp-3mo	9.43461538461538
NIC275	mean.temp-3mo	11.4295161763158
NIC275	median.temp-3mo	11.2571428571429
NIC275	q75.temp-3mo	13.3637362637363
NIC275	q90.temp-3mo	14.6659340659341
NIC275	max.temp-3mo	15.3384615384615
NIC276	min.temp-3mo	7.92967032967033
NIC276	q10.temp-3mo	8.60791208791209
NIC276	q25.temp-3mo	9.43461538461538
NIC276	mean.temp-3mo	11.4295161763158
NIC276	median.temp-3mo	11.2571428571429
NIC276	q75.temp-3mo	13.3637362637363
NIC276	q90.temp-3mo	14.6659340659341
NIC276	max.temp-3mo	15.3384615384615
NIC277	min.temp-3mo	7.27362637362637
NIC277	q10.temp-3mo	7.84527472527473
NIC277	q25.temp-3mo	8.47884615384615
NIC277	mean.temp-3mo	10.2702093200569
NIC277	median.temp-3mo	9.78241758241758
NIC277	q75.temp-3mo	12.0972527472527
NIC277	q90.temp-3mo	13.539010989011
NIC277	max.temp-3mo	14.3516483516484
NIC3	min.temp-3mo	13.8846153846154
NIC3	q10.temp-3mo	14.6604395604396
NIC3	q25.temp-3mo	15.7686813186813
NIC3	mean.temp-3mo	18.4160278321279
NIC3	median.temp-3mo	18.1681318681319
NIC3	q75.temp-3mo	21.0868131868132
NIC3	q90.temp-3mo	22.5391208791209
NIC3	max.temp-3mo	23.3197802197802
NIC501	min.temp-3mo	12.5846153846154
NIC501	q10.temp-3mo	13.3205494505494
NIC501	q25.temp-3mo	14.2673076923077
NIC501	mean.temp-3mo	16.6299177834653
NIC501	median.temp-3mo	16.6258241758242
NIC501	q75.temp-3mo	18.9681318681319
NIC501	q90.temp-3mo	20.1151648351648
NIC501	max.temp-3mo	20.9307692307692
NIC511	min.temp-3mo	10.9813186813187
NIC511	q10.temp-3mo	12.1220879120879
NIC511	q25.temp-3mo	13.0118131868132
NIC511	mean.temp-3mo	15.1189401380517
NIC511	median.temp-3mo	14.9620879120879
NIC511	q75.temp-3mo	17.2049450549451
NIC511	q90.temp-3mo	18.6072527472527
NIC511	max.temp-3mo	19.3912087912088
NIC513	min.temp-3mo	9.91208791208791
NIC513	q10.temp-3mo	10.7142857142857
NIC513	q25.temp-3mo	11.543956043956
NIC513	mean.temp-3mo	13.0735780432484
NIC513	median.temp-3mo	12.9835164835165
NIC513	q75.temp-3mo	14.4725274725275
NIC513	q90.temp-3mo	15.7868131868132
NIC513	max.temp-3mo	16.4725274725275
NIC514	min.temp-3mo	9.91208791208791
NIC514	q10.temp-3mo	10.7142857142857
NIC514	q25.temp-3mo	11.543956043956
NIC514	mean.temp-3mo	13.0735780432484
NIC514	median.temp-3mo	12.9835164835165
NIC514	q75.temp-3mo	14.4725274725275
NIC514	q90.temp-3mo	15.7868131868132
NIC514	max.temp-3mo	16.4725274725275
NIC515	min.temp-3mo	9.91208791208791
NIC515	q10.temp-3mo	10.7142857142857
NIC515	q25.temp-3mo	11.543956043956
NIC515	mean.temp-3mo	13.0735780432484
NIC515	median.temp-3mo	12.9835164835165
NIC515	q75.temp-3mo	14.4725274725275
NIC515	q90.temp-3mo	15.7868131868132
NIC515	max.temp-3mo	16.4725274725275
NIC522	min.temp-3mo	11.956043956044
NIC522	q10.temp-3mo	12.8417582417582
NIC522	q25.temp-3mo	13.8928571428571
NIC522	mean.temp-3mo	16.2280392813458
NIC522	median.temp-3mo	16.1923076923077
NIC522	q75.temp-3mo	18.6675824175824
NIC522	q90.temp-3mo	19.7351648351648
NIC522	max.temp-3mo	20.4175824175824
NIC523	min.temp-3mo	11.956043956044
NIC523	q10.temp-3mo	12.8417582417582
NIC523	q25.temp-3mo	13.8928571428571
NIC523	mean.temp-3mo	16.2280392813458
NIC523	median.temp-3mo	16.1923076923077
NIC523	q75.temp-3mo	18.6675824175824
NIC523	q90.temp-3mo	19.7351648351648
NIC523	max.temp-3mo	20.4175824175824
NIC526	min.temp-3mo	11.956043956044
NIC526	q10.temp-3mo	12.8417582417582
NIC526	q25.temp-3mo	13.8928571428571
NIC526	mean.temp-3mo	16.2280392813458
NIC526	median.temp-3mo	16.1923076923077
NIC526	q75.temp-3mo	18.6675824175824
NIC526	q90.temp-3mo	19.7351648351648
NIC526	max.temp-3mo	20.4175824175824
NIC527	min.temp-3mo	11.956043956044
NIC527	q10.temp-3mo	12.8417582417582
NIC527	q25.temp-3mo	13.8928571428571
NIC527	mean.temp-3mo	16.2280392813458
NIC527	median.temp-3mo	16.1923076923077
NIC527	q75.temp-3mo	18.6675824175824
NIC527	q90.temp-3mo	19.7351648351648
NIC527	max.temp-3mo	20.4175824175824
NIC528	min.temp-3mo	11.956043956044
NIC528	q10.temp-3mo	12.8417582417582
NIC528	q25.temp-3mo	13.8928571428571
NIC528	mean.temp-3mo	16.2280392813458
NIC528	median.temp-3mo	16.1923076923077
NIC528	q75.temp-3mo	18.6675824175824
NIC528	q90.temp-3mo	19.7351648351648
NIC528	max.temp-3mo	20.4175824175824
NIC529	min.temp-3mo	11.3384615384615
NIC529	q10.temp-3mo	12.5197802197802
NIC529	q25.temp-3mo	15.1557692307692
NIC529	mean.temp-3mo	19.8461088233318
NIC529	median.temp-3mo	20.4104395604396
NIC529	q75.temp-3mo	24.6392857142857
NIC529	q90.temp-3mo	26.0848351648352
NIC529	max.temp-3mo	27.3516483516484
PX179	min.temp-3mo	7.50879120879121
PX179	q10.temp-3mo	8.54021978021978
PX179	q25.temp-3mo	10.1464285714286
PX179	mean.temp-3mo	13.7568849503179
PX179	median.temp-3mo	13.1197802197802
PX179	q75.temp-3mo	17.2417582417582
PX179	q90.temp-3mo	20.1113186813187
PX179	max.temp-3mo	20.9538461538462
QG2075	min.temp-3mo	3.34835164835165
QG2075	q10.temp-3mo	4.23252747252747
QG2075	q25.temp-3mo	5.5510989010989
QG2075	mean.temp-3mo	8.74054802293007
QG2075	median.temp-3mo	8.46648351648352
QG2075	q75.temp-3mo	11.7782967032967
QG2075	q90.temp-3mo	13.823956043956
QG2075	max.temp-3mo	14.8989010989011
QG536	min.temp-3mo	8.66263736263736
QG536	q10.temp-3mo	9.08593406593407
QG536	q25.temp-3mo	9.62994505494505
QG536	mean.temp-3mo	10.603663003663
QG536	median.temp-3mo	10.5576923076923
QG536	q75.temp-3mo	11.4879120879121
QG536	q90.temp-3mo	12.1956043956044
QG536	max.temp-3mo	12.8153846153846
QG556	min.temp-3mo	13.5032967032967
QG556	q10.temp-3mo	13.8185714285714
QG556	q25.temp-3mo	14.2346153846154
QG556	mean.temp-3mo	15.2275699145575
QG556	median.temp-3mo	15.0884615384615
QG556	q75.temp-3mo	16.0947802197802
QG556	q90.temp-3mo	16.8161538461538
QG556	max.temp-3mo	17.6153846153846
QG557	min.temp-3mo	13.5032967032967
QG557	q10.temp-3mo	13.8185714285714
QG557	q25.temp-3mo	14.2346153846154
QG557	mean.temp-3mo	15.2275699145575
QG557	median.temp-3mo	15.0884615384615
QG557	q75.temp-3mo	16.0947802197802
QG557	q90.temp-3mo	16.8161538461538
QG557	max.temp-3mo	17.6153846153846
QW947	min.temp-3mo	9.04505494505494
QW947	q10.temp-3mo	9.59868131868132
QW947	q25.temp-3mo	10.6228021978022
QW947	mean.temp-3mo	15.4887820512821
QW947	median.temp-3mo	14.967032967033
QW947	q75.temp-3mo	19.4917582417582
QW947	q90.temp-3mo	22.6021978021978
QW947	max.temp-3mo	23.3857142857143
QX1211	min.temp-3mo	9.41538461538462
QX1211	q10.temp-3mo	9.96428571428572
QX1211	q25.temp-3mo	10.5456043956044
QX1211	mean.temp-3mo	11.4770963780689
QX1211	median.temp-3mo	11.4703296703297
QX1211	q75.temp-3mo	12.396978021978
QX1211	q90.temp-3mo	13.0375824175824
QX1211	max.temp-3mo	13.6747252747253
QX1212	min.temp-3mo	9.41538461538462
QX1212	q10.temp-3mo	9.96428571428572
QX1212	q25.temp-3mo	10.5456043956044
QX1212	mean.temp-3mo	11.4770963780689
QX1212	median.temp-3mo	11.4703296703297
QX1212	q75.temp-3mo	12.396978021978
QX1212	q90.temp-3mo	13.0375824175824
QX1212	max.temp-3mo	13.6747252747253
QX1233	min.temp-3mo	9.88681318681319
QX1233	q10.temp-3mo	10.3463736263736
QX1233	q25.temp-3mo	10.9678571428571
QX1233	mean.temp-3mo	12.2091237709659
QX1233	median.temp-3mo	12.093956043956
QX1233	q75.temp-3mo	13.3348901098901
QX1233	q90.temp-3mo	14.3279120879121
QX1233	max.temp-3mo	15.0835164835165
QX1791	min.temp-3mo	18.1010989010989
QX1791	q10.temp-3mo	19.0915384615385
QX1791	q25.temp-3mo	20.0222527472527
QX1791	mean.temp-3mo	22.4602016440244
QX1791	median.temp-3mo	22.0538461538462
QX1791	q75.temp-3mo	25.1431318681319
QX1791	q90.temp-3mo	26.532967032967
QX1791	max.temp-3mo	27.1989010989011
QX1792	min.temp-3mo	18.0835164835165
QX1792	q10.temp-3mo	19.0805494505495
QX1792	q25.temp-3mo	20.0255494505495
QX1792	mean.temp-3mo	22.4549809470351
QX1792	median.temp-3mo	22.0406593406593
QX1792	q75.temp-3mo	25.1370879120879
QX1792	q90.temp-3mo	26.5437362637363
QX1792	max.temp-3mo	27.2054945054945
QX1793	min.temp-3mo	18.0835164835165
QX1793	q10.temp-3mo	19.0805494505495
QX1793	q25.temp-3mo	20.0255494505495
QX1793	mean.temp-3mo	22.4549809470351
QX1793	median.temp-3mo	22.0406593406593
QX1793	q75.temp-3mo	25.1370879120879
QX1793	q90.temp-3mo	26.5437362637363
QX1793	max.temp-3mo	27.2054945054945
QX1794	min.temp-3mo	18.0835164835165
QX1794	q10.temp-3mo	19.0805494505495
QX1794	q25.temp-3mo	20.0255494505495
QX1794	mean.temp-3mo	22.4549809470351
QX1794	median.temp-3mo	22.0406593406593
QX1794	q75.temp-3mo	25.1370879120879
QX1794	q90.temp-3mo	26.5437362637363
QX1794	max.temp-3mo	27.2054945054945
WN2001	min.temp-3mo	13.0417582417582
WN2001	q10.temp-3mo	13.807032967033
WN2001	q25.temp-3mo	14.8412087912088
WN2001	mean.temp-3mo	17.5430633894914
WN2001	median.temp-3mo	17.5582417582418
WN2001	q75.temp-3mo	20.1068681318681
WN2001	q90.temp-3mo	21.3074725274725
WN2001	max.temp-3mo	22.1373626373626
WN2002	min.temp-3mo	2.51978021978022
WN2002	q10.temp-3mo	3.24142857142857
WN2002	q25.temp-3mo	4.1989010989011
WN2002	mean.temp-3mo	5.56013696650954
WN2002	median.temp-3mo	5.57637362637363
WN2002	q75.temp-3mo	6.97692307692308
WN2002	q90.temp-3mo	7.87813186813187
WN2002	max.temp-3mo	8.58571428571429
WN2033	min.temp-3mo	6.46483516483516
WN2033	q10.temp-3mo	7.25593406593407
WN2033	q25.temp-3mo	8.04972527472527
WN2033	mean.temp-3mo	9.44213943731135
WN2033	median.temp-3mo	9.41648351648352
WN2033	q75.temp-3mo	10.8464285714286
WN2033	q90.temp-3mo	11.8096703296703
WN2033	max.temp-3mo	12.3879120879121
WN2050	min.temp-3mo	6.12417582417582
WN2050	q10.temp-3mo	6.8819780219780204
WN2050	q25.temp-3mo	7.65
WN2050	mean.temp-3mo	9.00872527155312
WN2050	median.temp-3mo	8.99945054945055
WN2050	q75.temp-3mo	10.3725274725275
WN2050	q90.temp-3mo	11.3081318681319
WN2050	max.temp-3mo	11.8351648351648
WN2063	min.temp-3mo	7.14615384615385
WN2063	q10.temp-3mo	8.11
WN2063	q25.temp-3mo	9.1782967032967
WN2063	mean.temp-3mo	11.6151393871927
WN2063	median.temp-3mo	11.4587912087912
WN2063	q75.temp-3mo	14.1686813186813
WN2063	q90.temp-3mo	15.2742857142857
WN2063	max.temp-3mo	16.0153846153846
WN2064	min.temp-3mo	7.14615384615385
WN2064	q10.temp-3mo	8.11
WN2064	q25.temp-3mo	9.1782967032967
WN2064	mean.temp-3mo	11.6151393871927
WN2064	median.temp-3mo	11.4587912087912
WN2064	q75.temp-3mo	14.1686813186813
WN2064	q90.temp-3mo	15.2742857142857
WN2064	max.temp-3mo	16.0153846153846
WN2066	min.temp-3mo	7.14615384615385
WN2066	q10.temp-3mo	8.11
WN2066	q25.temp-3mo	9.1782967032967
WN2066	mean.temp-3mo	11.6151393871927
WN2066	median.temp-3mo	11.4587912087912
WN2066	q75.temp-3mo	14.1686813186813
WN2066	q90.temp-3mo	15.2742857142857
WN2066	max.temp-3mo	16.0153846153846
XZ1513	min.temp-3mo	22.4483516483516
XZ1513	q10.temp-3mo	23.0008791208791
XZ1513	q25.temp-3mo	23.7782967032967
XZ1513	mean.temp-3mo	25.9076740435882
XZ1513	median.temp-3mo	25.9357142857143
XZ1513	q75.temp-3mo	27.9332417582418
XZ1513	q90.temp-3mo	28.7785714285714
XZ1513	max.temp-3mo	29.4175824175824
XZ1514	min.temp-3mo	22.1373626373626
XZ1514	q10.temp-3mo	22.7017582417582
XZ1514	q25.temp-3mo	23.5096153846154
XZ1514	mean.temp-3mo	25.6476522597268
XZ1514	median.temp-3mo	25.5895604395604
XZ1514	q75.temp-3mo	27.7398351648352
XZ1514	q90.temp-3mo	28.6048351648352
XZ1514	max.temp-3mo	29.2362637362637
XZ1515	min.temp-3mo	22.1373626373626
XZ1515	q10.temp-3mo	22.7017582417582
XZ1515	q25.temp-3mo	23.5096153846154
XZ1515	mean.temp-3mo	25.6476522597268
XZ1515	median.temp-3mo	25.5895604395604
XZ1515	q75.temp-3mo	27.7398351648352
XZ1515	q90.temp-3mo	28.6048351648352
XZ1515	max.temp-3mo	29.2362637362637
XZ1516	min.temp-3mo	22.1373626373626
XZ1516	q10.temp-3mo	22.7017582417582
XZ1516	q25.temp-3mo	23.5096153846154
XZ1516	mean.temp-3mo	25.6476522597268
XZ1516	median.temp-3mo	25.5895604395604
XZ1516	q75.temp-3mo	27.7398351648352
XZ1516	q90.temp-3mo	28.6048351648352
XZ1516	max.temp-3mo	29.2362637362637
XZ1734	min.temp-3mo	19.7865168539326
XZ1734	q10.temp-3mo	20.2955056179775
XZ1734	q25.temp-3mo	21.3960674157303
XZ1734	mean.temp-3mo	23.2023289884823
XZ1734	median.temp-3mo	23.0337078651685
XZ1734	q75.temp-3mo	24.9775280898876
XZ1734	q90.temp-3mo	26.2606741573034
XZ1734	max.temp-3mo	27.0674157303371
XZ1735	min.temp-3mo	19.5494505494506
XZ1735	q10.temp-3mo	19.9967032967033
XZ1735	q25.temp-3mo	20.6868131868132
XZ1735	mean.temp-3mo	23.7673293416086
XZ1735	median.temp-3mo	23.1593406593407
XZ1735	q75.temp-3mo	26.706043956044
XZ1735	q90.temp-3mo	28.6043956043956
XZ1735	max.temp-3mo	29.3956043956044
XZ1756	min.temp-3mo	9.37472527472528
XZ1756	q10.temp-3mo	10.1289010989011
XZ1756	q25.temp-3mo	10.8744505494506
XZ1756	mean.temp-3mo	12.6621974645809
XZ1756	median.temp-3mo	12.5027472527473
XZ1756	q75.temp-3mo	14.410989010989
XZ1756	q90.temp-3mo	15.5383516483516
XZ1756	max.temp-3mo	16.3032967032967
XZ2019	min.temp-3mo	8.81318681318681
XZ2019	q10.temp-3mo	9.40208791208791
XZ2019	q25.temp-3mo	10.1953296703297
XZ2019	mean.temp-3mo	11.8961784984812
XZ2019	median.temp-3mo	11.7043956043956
XZ2019	q75.temp-3mo	13.4895604395604
XZ2019	q90.temp-3mo	14.6914285714286
XZ2019	max.temp-3mo	15.4197802197802
ECA592	min.temp-3mo	8.71318681318681
ECA592	q10.temp-3mo	9.65648351648352
ECA592	q25.temp-3mo	10.7428571428571
ECA592	mean.temp-3mo	13.2129322847042
ECA592	median.temp-3mo	12.8131868131868
ECA592	q75.temp-3mo	15.7434065934066
ECA592	q90.temp-3mo	17.0789010989011
ECA592	max.temp-3mo	18.2505494505494
ECA593	min.temp-3mo	8.71318681318681
ECA593	q10.temp-3mo	9.65648351648352
ECA593	q25.temp-3mo	10.7428571428571
ECA593	mean.temp-3mo	13.2129322847042
ECA593	median.temp-3mo	12.8131868131868
ECA593	q75.temp-3mo	15.7434065934066
ECA593	q90.temp-3mo	17.0789010989011
ECA593	max.temp-3mo	18.2505494505494
ECA594	min.temp-3mo	8.71318681318681
ECA594	q10.temp-3mo	9.65648351648352
ECA594	q25.temp-3mo	10.7428571428571
ECA594	mean.temp-3mo	13.2129322847042
ECA594	median.temp-3mo	12.8131868131868
ECA594	q75.temp-3mo	15.7434065934066
ECA594	q90.temp-3mo	17.0789010989011
ECA594	max.temp-3mo	18.2505494505494
ECA640	min.temp-3mo	16.5615384615385
ECA640	q10.temp-3mo	16.9598901098901
ECA640	q25.temp-3mo	17.5931318681319
ECA640	mean.temp-3mo	19.042575895249
ECA640	median.temp-3mo	18.6340659340659
ECA640	q75.temp-3mo	20.5587912087912
ECA640	q90.temp-3mo	21.568021978022
ECA640	max.temp-3mo	22.4208791208791
ECA701	min.temp-3mo	22.9813186813187
ECA701	q10.temp-3mo	23.5797802197802
ECA701	q25.temp-3mo	24.4112637362637
ECA701	mean.temp-3mo	26.7405684067457
ECA701	median.temp-3mo	27.0906593406593
ECA701	q75.temp-3mo	28.8673076923077
ECA701	q90.temp-3mo	29.6324175824176
ECA701	max.temp-3mo	30.2032967032967
ECA703	min.temp-3mo	9.15476190476191
ECA703	q10.temp-3mo	10.4317857142857
ECA703	q25.temp-3mo	12.6244047619048
ECA703	mean.temp-3mo	16.2586042572521
ECA703	median.temp-3mo	15.939880952381
ECA703	q75.temp-3mo	20.1113095238095
ECA703	q90.temp-3mo	22.2514285714286
ECA703	max.temp-3mo	23.547619047619
ECA705	min.temp-3mo	9.15476190476191
ECA705	q10.temp-3mo	10.4317857142857
ECA705	q25.temp-3mo	12.6244047619048
ECA705	mean.temp-3mo	16.2586042572521
ECA705	median.temp-3mo	15.939880952381
ECA705	q75.temp-3mo	20.1113095238095
ECA705	q90.temp-3mo	22.2514285714286
ECA705	max.temp-3mo	23.547619047619
ECA706	min.temp-3mo	9.15476190476191
ECA706	q10.temp-3mo	10.4317857142857
ECA706	q25.temp-3mo	12.6244047619048
ECA706	mean.temp-3mo	16.2586042572521
ECA706	median.temp-3mo	15.939880952381
ECA706	q75.temp-3mo	20.1113095238095
ECA706	q90.temp-3mo	22.2514285714286
ECA706	max.temp-3mo	23.547619047619
ECA710	min.temp-3mo	9.15476190476191
ECA710	q10.temp-3mo	10.4317857142857
ECA710	q25.temp-3mo	12.6244047619048
ECA710	mean.temp-3mo	16.2586042572521
ECA710	median.temp-3mo	15.939880952381
ECA710	q75.temp-3mo	20.1113095238095
ECA710	q90.temp-3mo	22.2514285714286
ECA710	max.temp-3mo	23.547619047619
ECA712	min.temp-3mo	19.210989010989
ECA712	q10.temp-3mo	19.7438461538462
ECA712	q25.temp-3mo	20.3769230769231
ECA712	mean.temp-3mo	22.6909465086202
ECA712	median.temp-3mo	22.0840659340659
ECA712	q75.temp-3mo	25.1107142857143
ECA712	q90.temp-3mo	26.0784615384615
ECA712	max.temp-3mo	27
ECA722	min.temp-3mo	19.210989010989
ECA722	q10.temp-3mo	19.7438461538462
ECA722	q25.temp-3mo	20.3769230769231
ECA722	mean.temp-3mo	22.6909465086202
ECA722	median.temp-3mo	22.0840659340659
ECA722	q75.temp-3mo	25.1107142857143
ECA722	q90.temp-3mo	26.0784615384615
ECA722	max.temp-3mo	27
ECA723	min.temp-3mo	19.210989010989
ECA723	q10.temp-3mo	19.7438461538462
ECA723	q25.temp-3mo	20.3769230769231
ECA723	mean.temp-3mo	22.6909465086202
ECA723	median.temp-3mo	22.0840659340659
ECA723	q75.temp-3mo	25.1107142857143
ECA723	q90.temp-3mo	26.0784615384615
ECA723	max.temp-3mo	27
ECA724	min.temp-3mo	4.95494505494506
ECA724	q10.temp-3mo	5.85912087912088
ECA724	q25.temp-3mo	6.725
ECA724	mean.temp-3mo	9.15989416482666
ECA724	median.temp-3mo	8.98296703296703
ECA724	q75.temp-3mo	11.4983516483516
ECA724	q90.temp-3mo	12.6485714285714
ECA724	max.temp-3mo	13.9340659340659
ECA730	min.temp-3mo	19.210989010989
ECA730	q10.temp-3mo	19.7438461538462
ECA730	q25.temp-3mo	20.3769230769231
ECA730	mean.temp-3mo	22.6909465086202
ECA730	median.temp-3mo	22.0840659340659
ECA730	q75.temp-3mo	25.1107142857143
ECA730	q90.temp-3mo	26.0784615384615
ECA730	max.temp-3mo	27
ECA732	min.temp-3mo	4.93296703296703
ECA732	q10.temp-3mo	5.83934065934066
ECA732	q25.temp-3mo	6.70384615384615
ECA732	mean.temp-3mo	9.1392020097595
ECA732	median.temp-3mo	8.96593406593407
ECA732	q75.temp-3mo	11.4730769230769
ECA732	q90.temp-3mo	12.6324175824176
ECA732	max.temp-3mo	13.9296703296703
ECA733	min.temp-3mo	4.93296703296703
ECA733	q10.temp-3mo	5.83934065934066
ECA733	q25.temp-3mo	6.70384615384615
ECA733	mean.temp-3mo	9.1392020097595
ECA733	median.temp-3mo	8.96593406593407
ECA733	q75.temp-3mo	11.4730769230769
ECA733	q90.temp-3mo	12.6324175824176
ECA733	max.temp-3mo	13.9296703296703
ECA738	min.temp-3mo	23.5747252747253
ECA738	q10.temp-3mo	24.2137362637363
ECA738	q25.temp-3mo	24.7903846153846
ECA738	mean.temp-3mo	26.7032434732727
ECA738	median.temp-3mo	26.1543956043956
ECA738	q75.temp-3mo	28.7700549450549
ECA738	q90.temp-3mo	29.7245054945055
ECA738	max.temp-3mo	30.4384615384615
ECA740	min.temp-3mo	22.4010989010989
ECA740	q10.temp-3mo	23.2157142857143
ECA740	q25.temp-3mo	24.142032967033
ECA740	mean.temp-3mo	26.7075188496938
ECA740	median.temp-3mo	26.0159340659341
ECA740	q75.temp-3mo	29.5532967032967
ECA740	q90.temp-3mo	30.9037362637363
ECA740	max.temp-3mo	31.4714285714286
ECA741	min.temp-3mo	22.4010989010989
ECA741	q10.temp-3mo	23.2157142857143
ECA741	q25.temp-3mo	24.142032967033
ECA741	mean.temp-3mo	26.7075188496938
ECA741	median.temp-3mo	26.0159340659341
ECA741	q75.temp-3mo	29.5532967032967
ECA741	q90.temp-3mo	30.9037362637363
ECA741	max.temp-3mo	31.4714285714286
ECA742	min.temp-3mo	22.3516483516484
ECA742	q10.temp-3mo	23.1810989010989
ECA742	q25.temp-3mo	24.1137362637363
ECA742	mean.temp-3mo	26.7212763355941
ECA742	median.temp-3mo	26.0587912087912
ECA742	q75.temp-3mo	29.593956043956
ECA742	q90.temp-3mo	30.9424175824176
ECA742	max.temp-3mo	31.5197802197802
ECA743	min.temp-3mo	22.3516483516484
ECA743	q10.temp-3mo	23.1810989010989
ECA743	q25.temp-3mo	24.1137362637363
ECA743	mean.temp-3mo	26.7212763355941
ECA743	median.temp-3mo	26.0587912087912
ECA743	q75.temp-3mo	29.593956043956
ECA743	q90.temp-3mo	30.9424175824176
ECA743	max.temp-3mo	31.5197802197802
ECA744	min.temp-3mo	24.221978021978
ECA744	q10.temp-3mo	24.8034065934066
ECA744	q25.temp-3mo	25.6049450549451
ECA744	mean.temp-3mo	27.0887709462463
ECA744	median.temp-3mo	27.0631868131868
ECA744	q75.temp-3mo	28.5450549450549
ECA744	q90.temp-3mo	29.3324175824176
ECA744	max.temp-3mo	30.0362637362637
ECA745	min.temp-3mo	24.221978021978
ECA745	q10.temp-3mo	24.8034065934066
ECA745	q25.temp-3mo	25.6049450549451
ECA745	mean.temp-3mo	27.0887709462463
ECA745	median.temp-3mo	27.0631868131868
ECA745	q75.temp-3mo	28.5450549450549
ECA745	q90.temp-3mo	29.3324175824176
ECA745	max.temp-3mo	30.0362637362637
ECA746	min.temp-3mo	4.93296703296703
ECA746	q10.temp-3mo	5.83934065934066
ECA746	q25.temp-3mo	6.70384615384615
ECA746	mean.temp-3mo	9.1392020097595
ECA746	median.temp-3mo	8.96593406593407
ECA746	q75.temp-3mo	11.4730769230769
ECA746	q90.temp-3mo	12.6324175824176
ECA746	max.temp-3mo	13.9296703296703
ECA760	min.temp-3mo	9.21463414634146
ECA760	q10.temp-3mo	10.4782926829268
ECA760	q25.temp-3mo	12.7057926829268
ECA760	mean.temp-3mo	16.2910169275875
ECA760	median.temp-3mo	15.9786585365854
ECA760	q75.temp-3mo	20.0832317073171
ECA760	q90.temp-3mo	22.2735365853659
ECA760	max.temp-3mo	23.5670731707317
ECA768	min.temp-3mo	9.21463414634146
ECA768	q10.temp-3mo	10.4782926829268
ECA768	q25.temp-3mo	12.7057926829268
ECA768	mean.temp-3mo	16.2910169275875
ECA768	median.temp-3mo	15.9786585365854
ECA768	q75.temp-3mo	20.0832317073171
ECA768	q90.temp-3mo	22.2735365853659
ECA768	max.temp-3mo	23.5670731707317
ECA777	min.temp-3mo	9.21463414634146
ECA777	q10.temp-3mo	10.4782926829268
ECA777	q25.temp-3mo	12.7057926829268
ECA777	mean.temp-3mo	16.2910169275875
ECA777	median.temp-3mo	15.9786585365854
ECA777	q75.temp-3mo	20.0832317073171
ECA777	q90.temp-3mo	22.2735365853659
ECA777	max.temp-3mo	23.5670731707317
ECA778	min.temp-3mo	9.21463414634146
ECA778	q10.temp-3mo	10.4782926829268
ECA778	q25.temp-3mo	12.7057926829268
ECA778	mean.temp-3mo	16.2910169275875
ECA778	median.temp-3mo	15.9786585365854
ECA778	q75.temp-3mo	20.0832317073171
ECA778	q90.temp-3mo	22.2735365853659
ECA778	max.temp-3mo	23.5670731707317
ECA807	min.temp-3mo	9.21463414634146
ECA807	q10.temp-3mo	10.4782926829268
ECA807	q25.temp-3mo	12.7057926829268
ECA807	mean.temp-3mo	16.2910169275875
ECA807	median.temp-3mo	15.9786585365854
ECA807	q75.temp-3mo	20.0832317073171
ECA807	q90.temp-3mo	22.2735365853659
ECA807	max.temp-3mo	23.5670731707317
ECA812	min.temp-3mo	9.21463414634146
ECA812	q10.temp-3mo	10.4782926829268
ECA812	q25.temp-3mo	12.7057926829268
ECA812	mean.temp-3mo	16.2910169275875
ECA812	median.temp-3mo	15.9786585365854
ECA812	q75.temp-3mo	20.0832317073171
ECA812	q90.temp-3mo	22.2735365853659
ECA812	max.temp-3mo	23.5670731707317
ECA930	min.temp-3mo	10.6956043956044
ECA930	q10.temp-3mo	11.0023076923077
ECA930	q25.temp-3mo	11.6950549450549
ECA930	mean.temp-3mo	13.0796507064364
ECA930	median.temp-3mo	12.8401098901099
ECA930	q75.temp-3mo	14.2052197802198
ECA930	q90.temp-3mo	15.4227472527473
ECA930	max.temp-3mo	16.2681318681319
JU3280	min.temp-3mo	10.1573170731707
JU3280	q10.temp-3mo	10.7679268292683
JU3280	q25.temp-3mo	11.6009146341463
JU3280	mean.temp-3mo	13.8788392857143
JU3280	median.temp-3mo	13.8408536585366
JU3280	q75.temp-3mo	16.0515243902439
JU3280	q90.temp-3mo	17.1446341463415
JU3280	max.temp-3mo	17.7646341463415
JU3282	min.temp-3mo	10.1573170731707
JU3282	q10.temp-3mo	10.7679268292683
JU3282	q25.temp-3mo	11.6009146341463
JU3282	mean.temp-3mo	13.8788392857143
JU3282	median.temp-3mo	13.8408536585366
JU3282	q75.temp-3mo	16.0515243902439
JU3282	q90.temp-3mo	17.1446341463415
JU3282	max.temp-3mo	17.7646341463415
JU3291	min.temp-3mo	6.90853658536585
JU3291	q10.temp-3mo	7.82012195121951
JU3291	q25.temp-3mo	8.62743902439024
JU3291	mean.temp-3mo	10.1354951219384
JU3291	median.temp-3mo	10.044512195122
JU3291	q75.temp-3mo	11.477743902439
JU3291	q90.temp-3mo	12.7343902439024
JU3291	max.temp-3mo	13.990243902439
QG2811	min.temp-3mo	7.83626373626374
QG2811	q10.temp-3mo	9.0356043956044
QG2811	q25.temp-3mo	10.3159340659341
QG2811	mean.temp-3mo	14.2527300113416
QG2811	median.temp-3mo	13.4967032967033
