strain	trait	value
ED3048	mean.temp-12mo	17.3566943674977
ED3048	median.temp-12mo	16.4605263157895
ED3048	q75.temp-12mo	19.6521468144044
ED3048	q90.temp-12mo	22.0329916897507
ED3048	max.temp-12mo	23.6202216066482
ED3049	min.temp-12mo	12.8168975069252
ED3049	q10.temp-12mo	13.3700554016621
ED3049	q25.temp-12mo	14.1997922437673
ED3049	mean.temp-12mo	17.3566943674977
ED3049	median.temp-12mo	16.4605263157895
ED3049	q75.temp-12mo	19.6521468144044
ED3049	q90.temp-12mo	22.0329916897507
ED3049	max.temp-12mo	23.6202216066482
ED3052	min.temp-12mo	12.8562326869806
ED3052	q10.temp-12mo	13.3963434903047
ED3052	q25.temp-12mo	14.2065096952909
ED3052	mean.temp-12mo	17.3509926131117
ED3052	median.temp-12mo	16.4524930747922
ED3052	q75.temp-12mo	19.6291551246537
ED3052	q90.temp-12mo	21.9991966759003
ED3052	max.temp-12mo	23.5792243767313
ED3073	min.temp-12mo	14.4875346260388
ED3073	q10.temp-12mo	15.218891966759
ED3073	q25.temp-12mo	16.2168975069252
ED3073	mean.temp-12mo	19.3295246769572
ED3073	median.temp-12mo	18.7678670360111
ED3073	q75.temp-12mo	22.4076869806094
ED3073	q90.temp-12mo	24.3363434903047
ED3073	max.temp-12mo	25.2260387811634
ED3077	min.temp-12mo	14.4875346260388
ED3077	q10.temp-12mo	15.218891966759
ED3077	q25.temp-12mo	16.2168975069252
ED3077	mean.temp-12mo	19.3295246769572
ED3077	median.temp-12mo	18.7678670360111
ED3077	q75.temp-12mo	22.4076869806094
ED3077	q90.temp-12mo	24.3363434903047
ED3077	max.temp-12mo	25.2260387811634
EG4347	min.temp-12mo	5.39058171745152
EG4347	q10.temp-12mo	6.36213296398892
EG4347	q25.temp-12mo	7.76703601108033
EG4347	mean.temp-12mo	11.0445299455591
EG4347	median.temp-12mo	10.5083102493075
EG4347	q75.temp-12mo	14.2531163434903
EG4347	q90.temp-12mo	16.6662880886427
EG4347	max.temp-12mo	17.596675900277
EG4349	min.temp-12mo	6.07700831024931
EG4349	q10.temp-12mo	7.11412742382271
EG4349	q25.temp-12mo	8.50034626038781
EG4349	mean.temp-12mo	11.8193452054359
EG4349	median.temp-12mo	11.5801939058172
EG4349	q75.temp-12mo	15.1045706371191
EG4349	q90.temp-12mo	16.8675346260388
EG4349	max.temp-12mo	17.7792243767313
EG4724	min.temp-12mo	11.3698060941828
EG4724	q10.temp-12mo	12.317783933518
EG4724	q25.temp-12mo	13.212188365651
EG4724	mean.temp-12mo	15.4410734337053
EG4724	median.temp-12mo	15.2534626038781
EG4724	q75.temp-12mo	17.6341412742382
EG4724	q90.temp-12mo	18.815567867036
EG4724	max.temp-12mo	19.7592797783934
EG4725	min.temp-12mo	11.3698060941828
EG4725	q10.temp-12mo	12.317783933518
EG4725	q25.temp-12mo	13.212188365651
EG4725	mean.temp-12mo	15.4410734337053
EG4725	median.temp-12mo	15.2534626038781
EG4725	q75.temp-12mo	17.6341412742382
EG4725	q90.temp-12mo	18.815567867036
EG4725	max.temp-12mo	19.7592797783934
EG4946	min.temp-12mo	6.22936288088643
EG4946	q10.temp-12mo	7.34559556786704
EG4946	q25.temp-12mo	8.80387811634349
EG4946	mean.temp-12mo	12.0709143752783
EG4946	median.temp-12mo	11.9480609418283
EG4946	q75.temp-12mo	15.3636426592798
EG4946	q90.temp-12mo	16.9960387811634
EG4946	max.temp-12mo	17.8326869806094
GXW1	min.temp-12mo	12.5429362880886
GXW1	q10.temp-12mo	13.5809418282548
GXW1	q25.temp-12mo	14.5512465373961
GXW1	mean.temp-12mo	17.0089733408829
GXW1	median.temp-12mo	16.904432132964
GXW1	q75.temp-12mo	19.4475069252078
GXW1	q90.temp-12mo	20.8265373961219
GXW1	max.temp-12mo	21.5869806094183
JT11398	min.temp-12mo	7.66759002770083
JT11398	q10.temp-12mo	8.23296398891967
JT11398	q25.temp-12mo	8.9612188365651
JT11398	mean.temp-12mo	10.8462473946656
JT11398	median.temp-12mo	10.4819944598338
JT11398	q75.temp-12mo	12.6537396121884
JT11398	q90.temp-12mo	14.0362880886427
JT11398	max.temp-12mo	14.792243767313
JU1088	min.temp-12mo	14.0531855955679
JU1088	q10.temp-12mo	14.6372299168975
JU1088	q25.temp-12mo	15.3514542936288
JU1088	mean.temp-12mo	16.9495333344376
JU1088	median.temp-12mo	16.914404432133
JU1088	q75.temp-12mo	18.4718144044321
JU1088	q90.temp-12mo	19.3496952908587
JU1088	max.temp-12mo	19.9105263157895
JU1172	min.temp-12mo	7.49445983379501
JU1172	q10.temp-12mo	8.37005540166205
JU1172	q25.temp-12mo	9.41142659279778
JU1172	mean.temp-12mo	12.0631183356632
JU1172	median.temp-12mo	11.886703601108
JU1172	q75.temp-12mo	14.8078947368421
JU1172	q90.temp-12mo	16.075512465374
JU1172	max.temp-12mo	16.8024930747922
JU1200	min.temp-12mo	7.06481994459834
JU1200	q10.temp-12mo	7.72764542936288
JU1200	q25.temp-12mo	8.54293628808864
JU1200	mean.temp-12mo	10.0710399919732
JU1200	median.temp-12mo	10.130055401662
JU1200	q75.temp-12mo	11.5636426592798
JU1200	q90.temp-12mo	12.3902216066482
JU1200	max.temp-12mo	12.9905817174515
JU1212	min.temp-12mo	11.2196675900277
JU1212	q10.temp-12mo	11.5969529085873
JU1212	q25.temp-12mo	12.1628808864266
JU1212	mean.temp-12mo	12.8129824561404
JU1212	median.temp-12mo	12.9319944598338
JU1212	q75.temp-12mo	13.5729916897507
JU1212	q90.temp-12mo	13.9352354570637
JU1212	max.temp-12mo	14.1767313019391
JU1213	min.temp-12mo	11.2196675900277
JU1213	q10.temp-12mo	11.5969529085873
JU1213	q25.temp-12mo	12.1628808864266
JU1213	mean.temp-12mo	12.8129824561404
JU1213	median.temp-12mo	12.9319944598338
JU1213	q75.temp-12mo	13.5729916897507
JU1213	q90.temp-12mo	13.9352354570637
JU1213	max.temp-12mo	14.1767313019391
JU1242	min.temp-12mo	5.98559556786704
JU1242	q10.temp-12mo	6.85036011080332
JU1242	q25.temp-12mo	7.81578947368421
JU1242	mean.temp-12mo	10.0949146813342
JU1242	median.temp-12mo	9.96592797783934
JU1242	q75.temp-12mo	12.2320637119114
JU1242	q90.temp-12mo	13.754459833795
JU1242	max.temp-12mo	14.7426592797784
JU1246	min.temp-12mo	5.98559556786704
JU1246	q10.temp-12mo	6.85036011080332
JU1246	q25.temp-12mo	7.81578947368421
JU1246	mean.temp-12mo	10.0949146813342
JU1246	median.temp-12mo	9.96592797783934
JU1246	q75.temp-12mo	12.2320637119114
JU1246	q90.temp-12mo	13.754459833795
JU1246	max.temp-12mo	14.7426592797784
JU1249	min.temp-12mo	5.98559556786704
JU1249	q10.temp-12mo	6.85036011080332
JU1249	q25.temp-12mo	7.81578947368421
JU1249	mean.temp-12mo	10.0949146813342
JU1249	median.temp-12mo	9.96592797783934
JU1249	q75.temp-12mo	12.2320637119114
JU1249	q90.temp-12mo	13.754459833795
JU1249	max.temp-12mo	14.7426592797784
JU1395	min.temp-12mo	6.4819944598338
JU1395	q10.temp-12mo	7.44819944598338
JU1395	q25.temp-12mo	8.65650969529086
JU1395	mean.temp-12mo	11.3828636837953
JU1395	median.temp-12mo	11.2714681440443
JU1395	q75.temp-12mo	14.137811634349
JU1395	q90.temp-12mo	15.5689750692521
JU1395	max.temp-12mo	16.2963988919668
JU1400	min.temp-12mo	13.8440443213296
JU1400	q10.temp-12mo	14.6568975069252
JU1400	q25.temp-12mo	16.4123961218837
JU1400	mean.temp-12mo	19.9089893106725
JU1400	median.temp-12mo	19.958864265928
JU1400	q75.temp-12mo	23.5002077562327
JU1400	q90.temp-12mo	24.9790304709141
JU1400	max.temp-12mo	25.7778393351801
JU1409	min.temp-12mo	13.8412742382271
JU1409	q10.temp-12mo	14.6541274238227
JU1409	q25.temp-12mo	16.4054709141274
JU1409	mean.temp-12mo	19.9066072004184
JU1409	median.temp-12mo	19.9595567867036
JU1409	q75.temp-12mo	23.4982686980609
JU1409	q90.temp-12mo	24.9734903047091
JU1409	max.temp-12mo	25.7717451523546
JU1440	min.temp-12mo	10.1939058171745
JU1440	q10.temp-12mo	11.5642659279778
JU1440	q25.temp-12mo	14.4847645429363
JU1440	mean.temp-12mo	16.3273836464982
JU1440	median.temp-12mo	17.387811634349
JU1440	q75.temp-12mo	18.6883656509695
